GPU 	 20 	 16 	 16 	 2000 	 18 	 77
CPU 	 20 	 16 	 16 	 2000 	 50 	 82
GPU 	 40 	 16 	 16 	 2000 	 40 	 18
CPU 	 40 	 16 	 16 	 2000 	 134 	 16
GPU 	 60 	 16 	 16 	 2000 	 56 	 4
CPU 	 60 	 16 	 16 	 2000 	 194 	 6
GPU 	 80 	 16 	 16 	 2000 	 94 	 4
CPU 	 80 	 16 	 16 	 2000 	 254 	 1
GPU 	 100 	 16 	 16 	 2000 	 106 	 0
CPU 	 100 	 16 	 16 	 2000 	 320 	 0
GPU 	 20 	 16 	 32 	 2000 	 26 	 166
CPU 	 20 	 16 	 32 	 2000 	 108 	 147
GPU 	 40 	 16 	 32 	 2000 	 52 	 30
CPU 	 40 	 16 	 32 	 2000 	 264 	 29
GPU 	 60 	 16 	 32 	 2000 	 80 	 15
CPU 	 60 	 16 	 32 	 2000 	 388 	 9
GPU 	 80 	 16 	 32 	 2000 	 124 	 0
CPU 	 80 	 16 	 32 	 2000 	 510 	 4
GPU 	 100 	 16 	 32 	 2000 	 150 	 1
CPU 	 100 	 16 	 32 	 2000 	 620 	 1
GPU 	 20 	 16 	 64 	 2000 	 36 	 349
CPU 	 20 	 16 	 64 	 2000 	 208 	 308
GPU 	 40 	 16 	 64 	 2000 	 82 	 93
CPU 	 40 	 16 	 64 	 2000 	 518 	 65
GPU 	 60 	 16 	 64 	 2000 	 128 	 17
CPU 	 60 	 16 	 64 	 2000 	 752 	 21
GPU 	 80 	 16 	 64 	 2000 	 188 	 21
CPU 	 80 	 16 	 64 	 2000 	 984 	 7
GPU 	 100 	 16 	 64 	 2000 	 234 	 4
CPU 	 100 	 16 	 64 	 2000 	 1228 	 2
GPU 	 20 	 16 	 128 	 2000 	 64 	 613
CPU 	 20 	 16 	 128 	 2000 	 420 	 599
GPU 	 40 	 16 	 128 	 2000 	 144 	 111
CPU 	 40 	 16 	 128 	 2000 	 1060 	 124
GPU 	 60 	 16 	 128 	 2000 	 242 	 37
CPU 	 60 	 16 	 128 	 2000 	 1554 	 40
GPU 	 80 	 16 	 128 	 2000 	 342 	 16
CPU 	 80 	 16 	 128 	 2000 	 1972 	 15
GPU 	 100 	 16 	 128 	 2000 	 440 	 7
CPU 	 100 	 16 	 128 	 2000 	 2442 	 7
GPU 	 20 	 16 	 256 	 2000 	 140 	 1231
CPU 	 20 	 16 	 256 	 2000 	 814 	 1223
GPU 	 40 	 16 	 256 	 2000 	 298 	 227
CPU 	 40 	 16 	 256 	 2000 	 2034 	 253
GPU 	 60 	 16 	 256 	 2000 	 492 	 74
CPU 	 60 	 16 	 256 	 2000 	 2996 	 75
GPU 	 80 	 16 	 256 	 2000 	 694 	 20
CPU 	 80 	 16 	 256 	 2000 	 3934 	 25
GPU 	 100 	 16 	 256 	 2000 	 912 	 19
CPU 	 100 	 16 	 256 	 2000 	 4904 	 11
GPU 	 20 	 16 	 512 	 2000 	 280 	 2473
CPU 	 20 	 16 	 512 	 2000 	 1682 	 2461
GPU 	 40 	 16 	 512 	 2000 	 612 	 490
CPU 	 40 	 16 	 512 	 2000 	 4096 	 497
GPU 	 60 	 16 	 512 	 2000 	 986 	 148
CPU 	 60 	 16 	 512 	 2000 	 5974 	 162
GPU 	 80 	 16 	 512 	 2000 	 1406 	 69
CPU 	 80 	 16 	 512 	 2000 	 7840 	 66
GPU 	 100 	 16 	 512 	 2000 	 1840 	 33
CPU 	 100 	 16 	 512 	 2000 	 9682 	 25
GPU 	 20 	 16 	 1024 	 2000 	 564 	 4766
CPU 	 20 	 16 	 1024 	 2000 	 3172 	 4941
GPU 	 40 	 16 	 1024 	 2000 	 1230 	 1029
CPU 	 40 	 16 	 1024 	 2000 	 8028 	 1008
GPU 	 60 	 16 	 1024 	 2000 	 1978 	 340
CPU 	 60 	 16 	 1024 	 2000 	 11770 	 319
GPU 	 80 	 16 	 1024 	 2000 	 2794 	 139
CPU 	 80 	 16 	 1024 	 2000 	 15472 	 133
GPU 	 100 	 16 	 1024 	 2000 	 3674 	 52
CPU 	 100 	 16 	 1024 	 2000 	 19238 	 49
GPU 	 20 	 32 	 32 	 2000 	 36 	 327
CPU 	 20 	 32 	 32 	 2000 	 200 	 327
GPU 	 40 	 32 	 32 	 2000 	 78 	 52
CPU 	 40 	 32 	 32 	 2000 	 508 	 57
GPU 	 60 	 32 	 32 	 2000 	 124 	 14
CPU 	 60 	 32 	 32 	 2000 	 740 	 20
GPU 	 80 	 32 	 32 	 2000 	 188 	 6
CPU 	 80 	 32 	 32 	 2000 	 968 	 8
GPU 	 100 	 32 	 32 	 2000 	 228 	 2
CPU 	 100 	 32 	 32 	 2000 	 1204 	 3
GPU 	 20 	 32 	 64 	 2000 	 70 	 604
CPU 	 20 	 32 	 64 	 2000 	 400 	 624
GPU 	 40 	 32 	 64 	 2000 	 146 	 130
CPU 	 40 	 32 	 64 	 2000 	 1002 	 136
GPU 	 60 	 32 	 64 	 2000 	 240 	 36
CPU 	 60 	 32 	 64 	 2000 	 1476 	 36
GPU 	 80 	 32 	 64 	 2000 	 330 	 15
CPU 	 80 	 32 	 64 	 2000 	 1938 	 17
GPU 	 100 	 32 	 64 	 2000 	 432 	 4
CPU 	 100 	 32 	 64 	 2000 	 2404 	 5
GPU 	 20 	 32 	 128 	 2000 	 142 	 1234
CPU 	 20 	 32 	 128 	 2000 	 798 	 1243
GPU 	 40 	 32 	 128 	 2000 	 304 	 251
CPU 	 40 	 32 	 128 	 2000 	 2008 	 247
GPU 	 60 	 32 	 128 	 2000 	 498 	 82
CPU 	 60 	 32 	 128 	 2000 	 2942 	 82
GPU 	 80 	 32 	 128 	 2000 	 696 	 34
CPU 	 80 	 32 	 128 	 2000 	 3864 	 30
GPU 	 100 	 32 	 128 	 2000 	 924 	 10
CPU 	 100 	 32 	 128 	 2000 	 4806 	 12
GPU 	 20 	 32 	 256 	 2000 	 280 	 2409
CPU 	 20 	 32 	 256 	 2000 	 1584 	 2481
GPU 	 40 	 32 	 256 	 2000 	 610 	 513
CPU 	 40 	 32 	 256 	 2000 	 4014 	 501
GPU 	 60 	 32 	 256 	 2000 	 994 	 155
CPU 	 60 	 32 	 256 	 2000 	 5884 	 163
GPU 	 80 	 32 	 256 	 2000 	 1408 	 71
CPU 	 80 	 32 	 256 	 2000 	 7740 	 57
GPU 	 100 	 32 	 256 	 2000 	 1848 	 25
CPU 	 100 	 32 	 256 	 2000 	 9624 	 24
GPU 	 20 	 32 	 512 	 2000 	 562 	 4920
CPU 	 20 	 32 	 512 	 2000 	 3182 	 4913
GPU 	 40 	 32 	 512 	 2000 	 1228 	 1010
CPU 	 40 	 32 	 512 	 2000 	 8008 	 1001
GPU 	 60 	 32 	 512 	 2000 	 1988 	 275
CPU 	 60 	 32 	 512 	 2000 	 11770 	 326
GPU 	 80 	 32 	 512 	 2000 	 2818 	 99
CPU 	 80 	 32 	 512 	 2000 	 15472 	 117
GPU 	 100 	 32 	 512 	 2000 	 3660 	 33
CPU 	 100 	 32 	 512 	 2000 	 19236 	 47
GPU 	 20 	 32 	 1024 	 2000 	 1120 	 10167
CPU 	 20 	 32 	 1024 	 2000 	 6326 	 9907
GPU 	 40 	 32 	 1024 	 2000 	 2442 	 1891
CPU 	 40 	 32 	 1024 	 2000 	 16044 	 2051
GPU 	 60 	 32 	 1024 	 2000 	 3978 	 682
CPU 	 60 	 32 	 1024 	 2000 	 23538 	 648
GPU 	 20 	 64 	 64 	 2000 	 134 	 1189
CPU 	 20 	 64 	 64 	 2000 	 794 	 1252
GPU 	 40 	 64 	 64 	 2000 	 290 	 251
CPU 	 40 	 64 	 64 	 2000 	 2008 	 247
GPU 	 60 	 64 	 64 	 2000 	 484 	 90
CPU 	 60 	 64 	 64 	 2000 	 2944 	 78
GPU 	 80 	 64 	 64 	 2000 	 672 	 33
CPU 	 80 	 64 	 64 	 2000 	 3870 	 33
GPU 	 100 	 64 	 64 	 2000 	 870 	 14
CPU 	 100 	 64 	 64 	 2000 	 4806 	 14
GPU 	 20 	 64 	 128 	 2000 	 276 	 2337
CPU 	 20 	 64 	 128 	 2000 	 1588 	 2444
GPU 	 40 	 64 	 128 	 2000 	 616 	 518
CPU 	 40 	 64 	 128 	 2000 	 4004 	 514
GPU 	 60 	 64 	 128 	 2000 	 996 	 166
CPU 	 60 	 64 	 128 	 2000 	 5886 	 169
GPU 	 80 	 64 	 128 	 2000 	 1400 	 70
CPU 	 80 	 64 	 128 	 2000 	 7736 	 63
GPU 	 100 	 64 	 128 	 2000 	 1834 	 23
CPU 	 100 	 64 	 128 	 2000 	 9626 	 22
GPU 	 20 	 64 	 256 	 2000 	 562 	 4905
CPU 	 20 	 64 	 256 	 2000 	 3172 	 4927
GPU 	 40 	 64 	 256 	 2000 	 1222 	 983
CPU 	 40 	 64 	 256 	 2000 	 8032 	 992
GPU 	 60 	 64 	 256 	 2000 	 1984 	 331
CPU 	 60 	 64 	 256 	 2000 	 11770 	 334
GPU 	 80 	 64 	 256 	 2000 	 2792 	 143
CPU 	 80 	 64 	 256 	 2000 	 15468 	 134
GPU 	 100 	 64 	 256 	 2000 	 3660 	 48
CPU 	 100 	 64 	 256 	 2000 	 19238 	 49
GPU 	 20 	 64 	 512 	 2000 	 1122 	 9896
CPU 	 20 	 64 	 512 	 2000 	 6346 	 9884
GPU 	 40 	 64 	 512 	 2000 	 2438 	 2051
CPU 	 40 	 64 	 512 	 2000 	 16028 	 2030
GPU 	 60 	 64 	 512 	 2000 	 3970 	 650
CPU 	 60 	 64 	 512 	 2000 	 23536 	 651
GPU 	 20 	 64 	 1024 	 2000 	 2248 	 19795
CPU 	 20 	 64 	 1024 	 2000 	 12864 	 19786
GPU 	 20 	 128 	 128 	 2000 	 562 	 4953
CPU 	 20 	 128 	 128 	 2000 	 3172 	 4925
GPU 	 40 	 128 	 128 	 2000 	 1222 	 1014
CPU 	 40 	 128 	 128 	 2000 	 8016 	 1007
GPU 	 60 	 128 	 128 	 2000 	 1986 	 322
CPU 	 60 	 128 	 128 	 2000 	 11768 	 326
GPU 	 80 	 128 	 128 	 2000 	 2796 	 125
CPU 	 80 	 128 	 128 	 2000 	 15466 	 125
GPU 	 100 	 128 	 128 	 2000 	 3654 	 47
CPU 	 100 	 128 	 128 	 2000 	 19238 	 44
GPU 	 20 	 128 	 256 	 2000 	 1114 	 9970
CPU 	 20 	 128 	 256 	 2000 	 6340 	 9819
GPU 	 40 	 128 	 256 	 2000 	 2434 	 2035
CPU 	 40 	 128 	 256 	 2000 	 16048 	 2048
GPU 	 60 	 128 	 256 	 2000 	 3976 	 631
CPU 	 60 	 128 	 256 	 2000 	 23542 	 659
GPU 	 20 	 128 	 512 	 2000 	 2240 	 19726
CPU 	 20 	 128 	 512 	 2000 	 12694 	 19660
GPU 	 20 	 256 	 256 	 2000 	 2288 	 15787
CPU 	 20 	 256 	 256 	 2000 	 12694 	 19730
